"iata","lat","lon","total_pax","airline_count","operating_airlines"
"ADD",8.9779,38.7993,296000,1,"JEM AIR"
"AKL",-37.0082,174.7915,555000,1,"Elysian"
"AMS",52.3105,4.7683,3500000,2,"Eendracht | Elysian"
"ARN",59.6519,17.9186,1500000,1,"TransEuropean"
"ATL",33.6407,-84.4277,1684000,2,"North Airways | Delta"
"AUH",24.4329,54.6511,1e+06,1,"JEM AIR"
"AYT",36.8969,30.8005,597000,1,"JEM AIR-SHUTTLE"
"BAH",26.2708,50.6336,1260000,1,"Gulf Air"
"BCN",41.2974,2.0785,354000,1,"Eurosky"
"BER",52.3667,13.5033,485000,1,"JEM AIR"
"BHX",52.4524,-1.7435,1366961,1,"Britannia"
"BKK",13.69,100.7501,2360000,2,"Air Pacific | Loyalty"
"BOG",4.7016,-74.1469,753000,1,"LATAM"
"BOS",42.3656,-71.0096,2200000,1,"United"
"BRS",51.3827,-2.7191,1392030,1,"Britannia"
"BZE",17.5386,-88.3042,365000,1,"LATAM"
"CDG",49.0097,2.5479,1128000,2,"TransEuropean | Eurosky"
"CEB",10.3075,123.9794,491000,1,"JEM AIR-SHUTTLE"
"CGK",-6.1256,106.6558,445000,1,"TransNusa"
"CJU",33.5113,126.493,3e+05,1,"Korean Air"
"CNX",18.7668,98.9626,415000,1,"Loyalty"
"CPH",55.618,12.6508,1600000,1,"TransEuropean"
"CTS",42.7752,141.6923,810000,1,"Loyalty"
"DBV",42.5614,18.2682,1300000,1,"JEM AIR-SHUTTLE"
"DCA",38.8512,-77.0402,4e+05,1,"United"
"DEL",28.5562,77.1,581000,1,"North Airways"
"DEN",39.8561,-104.6737,2371000,3,"North Airways | United | JEM AIR-SHUTTLE"
"DFW",32.8998,-97.0403,3217000,3,"North Airways | United | JEM AIR"
"DMM",26.4712,49.7979,884000,2,"JEM AIR-SHUTTLE | Loyalty"
"DOH",25.2731,51.608,8107000,5,"Rafir | Elysian | Gulf Air | Aerah | JEM AIR"
"DXB",25.2532,55.3657,9059000,7,"Rafir | Elysian | Canadair | Gulf Air | TransNusa | Aerah | JEM AIR"
"FCO",41.7999,12.2462,369000,1,"Eurosky"
"FLL",26.0726,-80.1527,1e+06,1,"JEM AIR-SHUTTLE"
"FOC",25.935,119.6633,305000,1,"Jade Air"
"FRA",50.0333,8.5706,3070000,2,"North Airways | Lufthansa"
"FUK",33.5859,130.4507,285000,1,"Loyalty"
"GIG",-22.81,-43.2506,3e+05,1,"Horizonte"
"GRU",-23.4356,-46.4731,3380000,4,"Horizonte | North Airways | LATAM | JEM AIR"
"GUM",13.4834,144.796,3e+05,1,"United"
"HAK",20.0026,110.4589,304000,1,"Loyalty"
"HAN",21.2212,105.8072,450000,1,"Loyalty"
"HKG",22.308,113.9185,1900000,2,"Elysian | Monarch"
"HKT",8.1132,98.3169,402000,1,"Loyalty"
"HND",35.5494,139.7798,6814000,5,"Elysian | North Airways | Air Pacific | TransNusa | Minato Aqua Air"
"HNL",21.3187,-157.9225,3261000,4,"Elysian | United | Air Pacific | JEM AIR"
"IAD",38.9531,-77.4565,1867000,2,"United | JEM AIR"
"IAH",29.9902,-95.3368,1300000,1,"United"
"ICN",37.4602,126.4407,2428000,3,"Korean Air | Jade Air | JEM AIR"
"ISB",33.5498,72.8277,6e+05,1,"flypak International"
"IST",41.2753,28.7519,2540000,4,"Rafir | JEM AIR | Loyalty | Anatolian"
"JED",21.6796,39.1565,2926000,3,"Rafir | JEM AIR-SHUTTLE | Loyalty"
"JFK",40.6413,-73.7781,5952000,5,"Elysian | North Airways | United | Delta | Loyalty"
"JNB",-26.1392,28.246,1775000,2,"Air Afrique | JEM AIR"
"KHI",24.9065,67.1608,370000,1,"flypak International"
"KIX",34.432,135.2304,1e+06,2,"Amaterasu | Minato Aqua Air"
"KWI",29.2266,47.9689,1995000,2,"Gulf Air | Loyalty"
"LAX",33.9416,-118.4085,5365000,5,"Elysian | North Airways | United | TransNusa | JEM AIR"
"LGW",51.1537,-0.1821,1423000,2,"FirstAir | Britannia"
"LHE",31.5216,74.4036,1290000,1,"flypak International"
"LHR",51.47,-0.4543,8268000,6,"Elysian | TransEuropean | TransNusa | FirstAir | Britannia | JEM AIR"
"LIM",-12.0219,-77.1143,347000,1,"JEM AIR-SHUTTLE"
"LOS",6.5774,3.3215,698000,2,"Air Afrique | JEM AIR-SHUTTLE"
"MAD",40.4983,-3.5676,632000,2,"Eurosky | JEM AIR"
"MAN",53.3621,-2.2733,1324651,1,"Britannia"
"MCO",28.4312,-81.3081,372000,1,"JEM AIR"
"MCT",23.5933,58.2817,679000,1,"JEM AIR-SHUTTLE"
"MDW",41.7868,-87.7522,979000,1,"United"
"MED",24.5534,39.7051,457000,1,"Loyalty"
"MEX",19.4361,-99.0719,361000,1,"JEM AIR"
"MIA",25.7959,-80.287,4600000,3,"United | Caribbean Airlines | JEM AIR"
"MNL",14.5086,121.0194,603000,2,"Orange Airways | Perivian Airlines"
"NAS",25.039,-77.4662,431000,1,"Caribbean Airlines"
"NBO",-1.3192,36.9278,704000,1,"Loyalty"
"NGO",34.8584,136.8054,321000,1,"Loyalty"
"NRT",35.7647,140.3863,888000,2,"Air Pacific | Minato Aqua Air"
